ticker,signal,model,alpha_annual,alpha_daily,t_stat,p_value,significant,r2,adj_r2,ic,ir,n_obs,low_sample_size,beta_MKT,beta_SMB,beta_HML,beta_MOM
MSFT,signal_zscore_vol_bb_gated,Carhart4,-0.015848,-6.339e-05,-0.5505,0.581985,False,0.0069,0.0005,0.0829,-0.293,632,False,0.0149,-0.0004,0.0013,0.0408
MSFT,signal_macd_trend_gated,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
MSFT,signal_macd_trend_gated,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
MSFT,signal_macd_trend_gated,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
MSFT,signal_bb_breakout_gated,CAPM,-0.046953,-0.00019082,-39.6333,0.0,True,0.0002,-0.0014,0.0146,-24.944,632,False,-0.0002,,,
MSFT,signal_bb_breakout_gated,FF3,-0.046996,-0.000191,-40.8739,0.0,True,0.0087,0.004,0.0932,-25.0732,632,False,-0.0007,-0.0001,-0.0015,
MSFT,signal_bb_breakout_gated,Carhart4,-0.04696,-0.00019085,-40.0893,0.0,True,0.0095,0.0032,0.0976,-25.065,632,False,-0.0006,-0.0002,-0.0015,0.0006
MSFT,signal_mr_pool,CAPM,-0.018919,-7.579e-05,-0.6361,0.524705,False,0.0016,-0.0,0.0394,-0.3488,632,False,0.0117,,,
MSFT,signal_mr_pool,FF3,-0.018453,-7.391e-05,-0.6367,0.524325,False,0.0017,-0.0031,0.0408,-0.3402,632,False,0.011,0.0051,-0.0002,
MSFT,signal_mr_pool,Carhart4,-0.015848,-6.339e-05,-0.5505,0.581985,False,0.0069,0.0005,0.0829,-0.293,632,False,0.0149,-0.0004,0.0013,0.0408
MSFT,signal_trend_pool,CAPM,-0.046925,-0.0001907,-38.0125,0.0,True,0.0002,-0.0014,0.0146,-23.9242,632,False,-0.0002,,,
